zona,precos,quartos,areas
norte,1310.0,3,97
norte,1600.0,2,67
norte,1800.0,2,45
norte,2700.0,2,82
norte,2200.0,3,85
norte,950000.0,1,25
norte,890000.0,2,100
norte,840000.0,1,38
norte,1300.0,2,50
norte,1200.0,2,48
norte,2140.0,3,60
norte,1400.0,2,62
norte,1685.0,1,22
norte,1200.0,2,65
norte,1500.0,2,47
norte,1300.0,1,56
norte,1300.0,2,55
norte,1280.0,2,72
norte,1850.0,3,102
norte,840000.0,1,38
norte,1450.0,2,52
norte,1850.0,2,57
norte,1300.0,3,74
norte,1600.0,2,50
norte,1700.0,3,72
norte,750000.0,1,40
norte,1100.0,2,53
norte,1600.0,3,67
norte,1420.0,2,74
norte,2240.0,3,105
norte,1500.0,2,63
norte,1790.0,4,170
norte,1900.0,2,68
norte,1520.0,2,80
norte,1310.0,1,32
norte,2400.0,1,49
norte,2500.0,2,300
norte,1300.0,2,90
norte,3000.0,3,120
norte,1400.0,2,49
norte,1850.0,2,50
norte,1441.0,2,70
norte,1200.0,2,50
norte,3300.0,3,200
norte,1417.0,2,80
norte,1800.0,3,62
norte,1269.0,2,72
norte,1700.0,1,22
norte,1800.0,4,70
norte,1250.0,3,60
norte,900000.0,1,45
norte,1095.0,3,78
norte,4200.0,3,111
norte,1900.0,3,65
norte,1760.0,3,85
norte,1720.0,3,65
norte,1700.0,2,63
norte,4000.0,5,280
norte,1150.0,2,58
norte,1540.0,3,79
norte,1320.0,2,50
norte,3600.0,3,122
norte,960000.0,1,60
norte,4640.0,4,225
norte,1460.0,1,32
norte,1870.0,2,70
norte,15000.0,3,330
norte,1300.0,2,74
norte,1900.0,3,66
norte,2450.0,3,87
norte,4500.0,2,115
norte,1400.0,2,43
norte,1111.0,3,63
norte,1250.0,2,50
norte,4300.0,5,480
norte,2285.0,3,140
norte,3000.0,2,68
norte,1500.0,2,54
norte,2500.0,3,67
norte,1680.0,2,70
norte,1280.0,2,50
norte,1204.0,2,46
norte,1000.0,2,48
norte,2407.0,3,60
norte,2400.0,3,96
norte,2000.0,1,28
norte,1500.0,2,58
norte,1500.0,2,52
norte,2900.0,1,35
norte,2300.0,2,55
norte,2211.0,4,180
norte,1400.0,2,55
norte,7000.0,4,500
norte,1420.0,3,94
norte,2700.0,3,100
norte,1900.0,3,92
norte,1800.0,3,68
norte,2300.0,2,65
norte,2800.0,2,70
norte,8000.0,4,250
norte,8000.0,3,350
norte,1357.0,2,50
norte,1600.0,3,50
norte,2000.0,2,57
norte,1200.0,3,55
norte,3300.0,2,54
norte,2900.0,2,77
norte,1600.0,2,63
norte,3840.0,3,121
norte,1100.0,2,42
norte,2020.0,2,65
norte,1700.0,2,43
norte,1310.0,1,32
norte,6500.0,3,240
norte,1310.0,1,32
norte,1310.0,1,32
norte,1310.0,1,32
norte,2600.0,3,101
norte,1460.0,1,32
norte,1460.0,1,32
norte,1460.0,1,32
norte,1460.0,1,32
norte,1950.0,3,65
norte,4100.0,3,130
norte,2600.0,1,45
norte,1900.0,2,72
norte,2500.0,2,45
norte,1620.0,2,65
norte,1670.0,1,20
norte,1300.0,2,62
norte,1650.0,2,56
norte,2780.0,3,120
norte,2800.0,1,90
norte,2300.0,2,90
norte,3000.0,1,65
norte,1440.0,1,42
norte,26300.0,,"1,150"
norte,1300.0,1,50
norte,1200.0,1,39
norte,750000.0,1,40
norte,950000.0,1,45
norte,1100.0,1,34
norte,2000.0,3,80
norte,2340.0,2,76
norte,600000.0,1,20
norte,600000.0,1,27
norte,1200.0,1,60
norte,1530.0,2,63
norte,1100.0,1,47
norte,1850.0,2,47
norte,950000.0,1,30
norte,950000.0,1,30
norte,950000.0,1,30
norte,1100.0,1,20
norte,2000.0,2,52
norte,900000.0,1,20
norte,870000.0,1,35
norte,1190.0,1,60
norte,983000.0,1,46
norte,1050.0,1,35
norte,850000.0,1,50
norte,7500.0,,500
norte,715000.0,2,60
norte,7500.0,,300
norte,850000.0,2,70
norte,700000.0,1,160
norte,600000.0,1,70
norte,720000.0,1,40
norte,2000.0,5,150
norte,820000.0,1,50
norte,1500.0,2,58
norte,1000.0,1,90
norte,1200.0,2,45
norte,1200.0,2,75
norte,800000.0,1,10
norte,690000.0,1,30
norte,20000.0,,"1,000"
norte,950000.0,1,55
norte,115000.0,,"7,800"
norte,1700.0,3,75
norte,16000.0,,640
norte,95000.0,,"4,728"
norte,1600.0,2,67
norte,1100.0,1,27
norte,1800.0,2,47
norte,1330.0,2,57
norte,1320.0,2,64
norte,1300.0,2,54
norte,1100.0,2,60
norte,1400.0,2,50
norte,1500.0,1,45
norte,1350.0,2,54
norte,900000.0,1,49
norte,1180.0,2,63
norte,1040.0,1,24
norte,1000.0,1,50
norte,1550.0,3,72
norte,1200.0,2,49
norte,1700.0,3,62
norte,1600.0,2,70
norte,1000.0,2,50
norte,1400.0,2,70
norte,1700.0,2,58
norte,2760.0,3,220
norte,1325.0,2,70
norte,1220.0,2,"5,353"
norte,1450.0,3,62
norte,1400.0,2,47
norte,2200.0,1,45
norte,2100.0,3,86
norte,1850.0,2,55
norte,1100.0,1,49
norte,1620.0,2,85
norte,2600.0,2,55
norte,1550.0,2,70
norte,1320.0,2,60
norte,1600.0,3,80
norte,2200.0,1,42
norte,1160.0,1,48
norte,1050.0,1,50
norte,1760.0,2,64
norte,1370.0,2,54
norte,2360.0,3,100
norte,1550.0,2,67
norte,1040.0,1,24
norte,1040.0,1,24
norte,2500.0,3,155
norte,1430.0,2,70
norte,1160.0,2,35
norte,1340.0,2,52
norte,1400.0,3,68
norte,2300.0,3,96
norte,1414.0,1,45
norte,2000.0,2,110
norte,2400.0,2,68
norte,800000.0,1,50
norte,1600.0,2,56
norte,1270.0,1,30
norte,4300.0,4,320
norte,8500.0,3,440
norte,1240.0,2,57
norte,2120.0,2,54
norte,3200.0,4,150
norte,3000.0,3,200
norte,1700.0,3,80
norte,2420.0,3,85
norte,3000.0,3,197
norte,1040.0,1,24
norte,1400.0,2,65
norte,3100.0,3,170
norte,1360.0,3,76
norte,5800.0,3,146
norte,1970.0,2,100
norte,1200.0,1,59
norte,2170.0,2,69
norte,2380.0,3,92
norte,2200.0,1,33
norte,1450.0,2,58
norte,2500.0,3,96
norte,1000.0,1,50
norte,5380.0,4,300
norte,3500.0,3,279
norte,3400.0,3,106
norte,2630.0,3,125
norte,4500.0,3,320
norte,2130.0,2,110
norte,4800.0,3,120
norte,3800.0,2,75
norte,1600.0,2,65
norte,1800.0,2,100
norte,2100.0,1,41
norte,2350.0,2,35
norte,1080.0,1,24
norte,1040.0,1,24
norte,1850.0,2,60
norte,1050.0,2,55
norte,1040.0,1,24
norte,1100.0,2,56
norte,1430.0,2,62
norte,860000.0,1,55
norte,3500.0,3,167
norte,1600.0,2,55
norte,780000.0,1,35
norte,2900.0,3,93
norte,7500.0,,100
norte,1200.0,1,34
norte,1180.0,1,35
norte,1164.0,1,45
sul,1340.0,2,60
sul,2450.0,2,65
sul,680000.0,1,29
sul,1200.0,2,100
sul,1700.0,2,86
sul,2000.0,2,35
sul,7500.0,,300
sul,7500.0,4,158
sul,10400.0,3,200
sul,7500.0,4,299
sul,7500.0,3,160
sul,1160.0,2,75
sul,7600.0,,130
sul,7500.0,,170
sul,1900.0,2,80
sul,1220.0,2,58
sul,7500.0,,350
sul,1400.0,1,40
sul,1200.0,1,36
sul,1113.0,2,64
sul,1460.0,2,41
sul,1300.0,2,43
sul,1400.0,2,82
sul,1400.0,2,64
sul,1600.0,1,32
sul,7500.0,4,176
sul,1395.0,2,65
sul,1230.0,3,260
sul,1600.0,2,55
sul,1350.0,3,80
sul,4500.0,1,72
sul,4300.0,3,95
sul,2550.0,1,33
sul,1500.0,2,69
sul,8500.0,4,511
sul,1085.0,1,52
sul,1630.0,1,40
sul,2700.0,2,70
sul,2500.0,4,120
sul,2200.0,2,78
sul,1800.0,2,84
sul,1000.0,1,43
sul,3500.0,2,80
sul,3300.0,1,117
sul,5200.0,2,73
sul,2600.0,2,64
sul,3770.0,3,110
sul,1350.0,2,52
sul,10670.0,3,161
sul,2000.0,1,38
sul,1210.0,2,64
sul,3490.0,3,104
sul,1563.0,4,240
sul,1220.0,1,25
sul,3500.0,3,95
sul,1408.0,2,55
sul,1800.0,1,43
sul,2330.0,2,54
sul,1850.0,3,75
sul,1400.0,1,31
sul,1400.0,2,65
sul,3800.0,3,140
sul,2050.0,1,38
sul,7120.0,3,130
sul,6000.0,3,140
sul,1300.0,3,75
sul,4500.0,3,120
sul,1910.0,2,96
sul,1380.0,2,58
sul,1500.0,2,64
sul,3400.0,3,90
sul,2400.0,1,34
sul,3100.0,1,30
sul,5210.0,3,140
sul,3130.0,2,90
sul,2500.0,2,51
sul,12000.0,3,180
sul,2000.0,3,76
sul,1350.0,1,26
sul,2980.0,1,40
sul,3500.0,2,92
sul,3200.0,2,86
sul,1890.0,2,63
sul,3000.0,3,149
sul,1200.0,2,58
sul,1400.0,2,58
sul,800000.0,1,43
sul,3000.0,3,91
sul,2400.0,3,75
sul,2700.0,2,62
sul,2637.0,1,66
sul,1500.0,1,50
sul,3906.0,1,90
sul,1600.0,2,37
sul,3181.0,3,82
sul,1550.0,1,60
sul,4500.0,3,250
sul,3900.0,3,120
sul,2744.0,2,65
sul,2000.0,2,72
sul,2250.0,2,62
sul,1550.0,2,52
sul,2000.0,1,33
sul,1200.0,2,56
sul,1800.0,1,58
sul,2200.0,2,56
sul,2500.0,2,55
sul,1841.0,2,74
sul,2735.0,2,63
sul,4593.0,3,208
sul,3000.0,4,100
sul,1420.0,1,36
sul,2750.0,1,40
sul,3500.0,3,110
sul,2000.0,3,100
sul,1600.0,3,107
sul,3500.0,1,33
sul,5900.0,3,160
sul,4868.0,2,86
sul,1850.0,3,65
sul,2200.0,2,65
sul,2850.0,1,43
sul,2400.0,3,80
sul,1700.0,2,47
sul,4940.0,3,330
sul,2730.0,3,74
sul,1455.0,2,106
sul,2266.0,1,40
sul,8500.0,1,64
sul,7137.0,3,173
sul,10750.0,4,253
sul,2120.0,2,47
sul,1900.0,2,57
sul,3500.0,2,58
sul,6200.0,1,60
sul,4700.0,3,137
sul,3300.0,2,80
sul,3740.0,3,86
sul,1920.0,2,97
sul,7120.0,1,80
sul,5000.0,4,133
sul,3900.0,1,64
sul,2540.0,2,63
sul,1380.0,3,74
sul,4700.0,2,50
sul,6580.0,3,165
sul,5500.0,2,69
sul,3800.0,3,128
sul,2500.0,3,64
sul,3590.0,2,88
sul,4400.0,3,146
sul,2000.0,1,32
sul,5340.0,3,95
sul,2500.0,3,130
sul,2250.0,1,35
sul,3100.0,3,100
sul,3290.0,2,100
sul,4600.0,3,113
sul,2200.0,2,65
sul,3200.0,1,75
sul,1630.0,1,35
sul,3900.0,2,70
sul,2380.0,2,50
sul,13440.0,3,240
sul,1550.0,1,55
sul,7000.0,4,200
sul,2117.0,3,122
sul,1900.0,2,56
sul,2800.0,1,65
sul,4381.0,4,320
sul,1900.0,3,67
sul,2500.0,2,122
sul,1100.0,2,46
sul,2200.0,3,80
sul,1300.0,2,53
sul,6000.0,2,117
sul,2100.0,1,41
sul,3655.0,1,40
sul,2680.0,3,80
sul,1947.0,2,60
sul,4086.0000000000005,4,175
sul,4000.0,4,320
sul,1347.0,3,56
sul,2700.0,2,114
sul,3000.0,2,100
sul,1903.0,2,48
sul,4000.0,4,128
sul,1670.0,3,69
sul,3000.0,3,145
sul,2000.0,3,80
sul,2500.0,3,250
sul,1544.0,3,100
sul,2350.0,2,52
sul,1400.0,2,40
sul,2500.0,1,52
sul,3100.0,2,70
sul,1950.0,2,48
sul,3313.0,3,100
sul,3200.0,3,85
sul,5350.0,3,135
sul,3000.0,4,190
sul,2900.0,2,130
sul,1782.0,3,68
sul,3200.0,2,90
sul,1431.0,2,80
sul,2100.0,2,51
sul,3500.0,3,78
sul,2750.0,2,44
sul,4200.0,3,83
sul,3500.0,1,26
sul,2100.0,2,62
sul,1400.0,3,73
sul,5000.0,1,30
sul,2500.0,1,47
sul,2500.0,2,60
sul,6900.0,3,140
sul,2850.0,1,52
sul,2950.0,1,48
sul,2165.0,1,35
sul,1340.0,1,35
sul,1700.0,2,65
sul,2500.0,2,120
sul,5184.0,2,98
sul,4500.0,3,120
sul,6700.0,3,137
sul,3300.0,1,64
sul,2721.0,3,100
sul,2850.0,1,47
sul,1700.0,3,92
sul,1650.0,1,33
sul,4800.0,3,98
sul,3900.0,1,54
sul,5000.0,1,40
sul,2040.0,2,64
sul,2200.0,2,49
sul,11400.0,3,125
sul,5000.0,3,150
sul,8550.0,4,140
sul,6000.0,3,150
sul,1900.0,1,40
sul,2693.0,1,39
sul,4500.0,1,30
sul,3464.0,2,63
sul,2600.0,1,48
sul,2000.0,2,56
sul,6600.0,1,50
sul,4000.0,4,180
sul,1700.0,2,72
sul,2500.0,2,51
sul,2000.0,2,84
sul,2800.0,2,97
sul,4000.0,3,135
sul,4700.0,2,107
sul,2600.0,2,85
sul,3000.0,1,40
sul,2500.0,3,69
sul,3300.0,3,100
sul,3000.0,2,60
sul,2300.0,2,52
sul,4950.0,1,32
sul,2450.0,1,40
sul,3052.0,1,35
sul,2200.0,1,50
sul,2900.0,3,100
sul,10040.0,3,210
sul,6800.0,2,143
sul,3500.0,2,89
sul,7480.0,4,165
sul,6000.0,3,270
sul,2800.0,2,63
sul,2600.0,2,83
sul,3100.0,2,75
sul,3500.0,3,80
sul,3000.0,3,123
sul,4500.0,3,99
sul,1800.0,3,65
sul,7500.0,3,102
sul,2043.0000000000002,3,70
sul,3500.0,2,90
sul,10000.0,4,262
sul,2300.0,3,79
sul,5340.0,2,116
sul,2500.0,1,50
sul,6500.0,3,140
sul,2300.0,2,70
sul,3999.0,3,85
sul,2900.0,1,35
sul,3270.0,2,70
leste,800000.0,2,70
leste,700000.0,1,30
leste,1400.0,2,50
leste,1650.0,1,38
leste,3400.0,3,244
leste,1100.0,1,32
leste,700000.0,1,30
leste,1318.0,1,25
leste,970000.0,1,60
leste,1500.0,2,49
leste,580000.0,1,35
leste,7500.0,3,454
leste,15000.0,3,110
leste,650000.0,1,40
leste,7500.0,3,164
