zona,precos,quartos,areas
leste,1330.0,2,65
leste,1100.0,2,50
leste,600000.0,1,45
leste,747000.0,1,85
leste,890000.0,3,57
leste,1200.0,2,39
leste,7500.0,1,300
leste,1100.0,1,65
leste,1100.0,2,50
leste,1200.0,2,57
leste,3900.0,2,70
leste,2100.0,3,139
leste,1200.0,1,32
leste,1380.0,2,52
leste,1299.0,2,44
leste,1240.0,2,117
leste,1500.0,2,45
leste,900000.0,1,42
leste,1970.0,2,98
leste,1100.0,1,30
leste,2600.0,3,78
leste,6110.0,3,300
leste,2100.0,3,93
leste,1400.0,2,56
leste,4080.0,3,82
leste,1350.0,2,52
leste,1650.0,2,150
leste,900000.0,2,50
leste,850000.0,2,40
leste,4500.0,3,167
leste,1100.0,1,100
leste,930000.0,2,200
leste,2300.0,3,73
leste,925000.0,1,15
leste,1470.0,2,60
leste,970000.0,1,60
leste,1100.0,1,30
leste,1100.0,1,32
leste,1560.0,2,50
leste,2800.0,3,130
leste,2500.0,3,346
leste,2700.0,3,270
leste,1200.0,2,74
leste,1360.0,2,55
leste,1100.0,2,68
leste,950000.0,2,45
leste,720000.0,1,45
leste,1000.0,2,47
leste,4000.0,3,120
leste,958000.0,1,45
leste,1480.0,3,84
leste,1700.0,3,70
leste,900000.0,1,75
leste,1720.0,2,95
leste,1280.0,1,36
leste,1700.0,2,95
leste,1580.0,2,69
leste,3200.0,3,97
leste,2200.0,2,63
leste,730000.0,1,40
leste,990000.0,2,41
leste,2110.0,3,74
leste,5630.0,3,119
leste,1360.0,2,65
leste,15000.0,3,416
leste,1800.0,2,120
leste,3000.0,3,350
leste,2500.0,3,250
leste,7900.0,,270
leste,1000.0,2,50
leste,2000.0,3,65
leste,1000.0,1,60
leste,1200.0,2,75
leste,4500.0,3,250
leste,1250.0,2,40
leste,2950.0,2,90
leste,2690.0,2,250
leste,2500.0,4,170
leste,1100.0,2,55
leste,2081.0,3,65
leste,2400.0,2,55
leste,1400.0,3,80
leste,1000.0,1,45
leste,800000.0,1,40
leste,4000.0,3,125
leste,2000.0,3,80
leste,1300.0,2,53
leste,1450.0,3,75
leste,1200.0,1,34
leste,1468.0,2,60
leste,950000.0,2,48
leste,1110.0,1,70
leste,2233.0,2,118
leste,850000.0,2,48
leste,2500.0,4,330
leste,1200.0,1,24
leste,5000.0,3,175
leste,3000.0,3,126
leste,750000.0,1,80
leste,1940.0,2,68
leste,2200.0,4,125
leste,1150.0,1,35
leste,1110.0,2,41
leste,4300.0,3,350
leste,1930.0,2,49
leste,1880.0,3,80
leste,2650.0,3,100
leste,720000.0,1,30
leste,1430.0,3,80
leste,1230.0,2,56
leste,2500.0,2,145
leste,10600.0,4,335
leste,1600.0,2,108
leste,2800.0,2,71
leste,1300.0,2,90
leste,3400.0,2,90
leste,660000.0,1,40
leste,1200.0,1,32
leste,1650.0,2,45
leste,1200.0,1,32
leste,1100.0,1,28
leste,2000.0,2,110
leste,1200.0,2,41
leste,1100.0,1,28
leste,3400.0,2,90
leste,1400.0,1,44
leste,3500.0,3,170
leste,1050.0,2,50
leste,5500.0,6,210
leste,2200.0,2,64
leste,2400.0,2,67
leste,600000.0,1,35
leste,1250.0,2,40
leste,1600.0,2,48
leste,1350.0,2,40
leste,1000.0,2,70
leste,1100.0,1,39
leste,1200.0,1,39
leste,1300.0,2,60
leste,1200.0,1,60
leste,1600.0,3,88
leste,2500.0,1,52
leste,2350.0,2,55
leste,1410.0,2,116
leste,1750.0,2,51
leste,1526.0,2,52
leste,2700.0,3,74
leste,2250.0,2,150
leste,1100.0,1,75
leste,1500.0,2,50
leste,1600.0,2,56
leste,1766.0,2,70
leste,1650.0,4,100
leste,1230.0,2,58
leste,1400.0,1,32
leste,2000.0,3,70
leste,900000.0,1,70
leste,1150.0,2,60
leste,2200.0,2,75
leste,8000.0,3,220
leste,1405.0,4,150
leste,950000.0,1,40
leste,830000.0,1,50
leste,800000.0,2,58
leste,2200.0,2,180
leste,2700.0,3,125
leste,3400.0,3,130
leste,1210.0,2,53
leste,2330.0,2,90
leste,1870.0,1,33
leste,2200.0,2,68
leste,2800.0,2,70
leste,1750.0,3,63
leste,2200.0,2,45
leste,2800.0,2,125
leste,1300.0,1,85
leste,1800.0,2,50
leste,1200.0,1,80
leste,1900.0,2,55
leste,1130.0,2,43
leste,1950.0,2,56
leste,1849.0,3,85
leste,2230.0,2,75
leste,2700.0,3,95
leste,1360.0,1,37
leste,2000.0,3,96
leste,3300.0,4,150
leste,2200.0,3,65
leste,1200.0,1,24
leste,2400.0,2,90
leste,1000.0,2,51
leste,2600.0,2,67
leste,2890.0,1,70
leste,1300.0,2,41
leste,2650.0,2,57
leste,1600.0,2,56
leste,1600.0,1,40
leste,1300.0,1,49
leste,1600.0,2,56
leste,1600.0,2,55
leste,2802.0,2,53
leste,1600.0,2,56
leste,2200.0,3,65
leste,3500.0,4,268
leste,1300.0,1,47
leste,2300.0,2,54
leste,1600.0,2,50
leste,5000.0,3,73
leste,2500.0,2,49
leste,800000.0,1,35
leste,1600.0,2,65
leste,1100.0,1,25
leste,710000.0,1,20
leste,1100.0,2,42
leste,1690.0,3,89
leste,1200.0,1,62
leste,1200.0,1,32
leste,1200.0,1,32
leste,1100.0,1,28
leste,1100.0,1,28
leste,1420.0,1,46
leste,1406.0,2,52
leste,1100.0,1,28
leste,1100.0,1,28
leste,3600.0,1,52
leste,1800.0,2,67
leste,900000.0,2,47
leste,700000.0,2,50
leste,1700.0,1,26
leste,1063.0,2,43
leste,1200.0,1,32
leste,730000.0,1,35
leste,1262.0,2,65
leste,1600.0,4,250
leste,1700.0,2,52
leste,1700.0,2,90
leste,920000.0,1,100
leste,990000.0,2,47
leste,1072.0,2,58
leste,970000.0,1,35
leste,7550.0,5,340
leste,1800.0,3,62
leste,7500.0,,280
leste,7500.0,,270
leste,500000.0,1,32
leste,750000.0,1,
leste,2000.0,3,130
leste,299000.0,1,6
leste,700000.0,,32
leste,1197.0,1,18
leste,1000.0,2,45
leste,1208.0,2,47
leste,1000.0,1,56
leste,1600.0,3,158
leste,299000.0,1,6
leste,3000.0,,262
leste,700000.0,1,60
leste,850000.0,2,92
leste,980000.0,1,42
leste,3000.0,3,240
leste,2800.0,3,200
leste,1000.0,2,50
leste,1000.0,1,28
leste,8000.0,,78
leste,2100.0,2,80
leste,1600.0,,70
leste,16800.0,,"1,500"
leste,2200.0,3,75
leste,5500.0,4,129
leste,13000.0,,"1,200"
leste,8500.0,,420
leste,1050.0,3,68
leste,1550.0,3,63
oeste,2200.0,3,230
oeste,800000.0,1,36
oeste,1000.0,1,50
oeste,7500.0,2,230
oeste,7500.0,3,274
oeste,7500.0,4,260
oeste,7500.0,4,215
oeste,7500.0,3,172
oeste,7500.0,3,167
oeste,7350.0,,245
oeste,1850.0,3,60
oeste,1300.0,1,49
oeste,1690.0,3,203
oeste,7500.0,3,178
oeste,3600.0,2,127
oeste,2190.0,3,106
oeste,3200.0,2,76
oeste,706000.0,1,22
oeste,8574.0,4,218
oeste,4500.0,1,87
oeste,1385.0,1,54
oeste,3500.0,2,56
oeste,2500.0,2,95
oeste,2500.0,2,50
oeste,1500.0,3,64
oeste,1200.0,2,52
oeste,2800.0,2,70
oeste,3500.0,3,88
oeste,1480.0,3,98
oeste,1500.0,2,49
oeste,1720.0,2,73
oeste,1440.0,1,53
oeste,2000.0,2,54
oeste,3700.0,1,70
oeste,2500.0,2,65
oeste,2162.0,2,80
oeste,1370.0,2,90
oeste,2900.0,2,65
oeste,1500.0,3,70
oeste,1500.0,2,68
oeste,2900.0,2,85
oeste,3500.0,2,59
oeste,2000.0,2,63
oeste,2411.0,2,62
oeste,1740.0,3,63
oeste,5000.0,2,95
oeste,2000.0,1,60
oeste,1400.0,2,44
oeste,2200.0,3,76
oeste,2600.0,3,70
oeste,2900.0,3,124
oeste,2330.0,3,290
oeste,8290.0,2,185
oeste,13450.0,5,500
oeste,7500.0,2,70
oeste,8000.0,4,526
oeste,11000.0,4,230
oeste,3300.0,2,45
oeste,2100.0,2,51
oeste,4090.0,2,100
oeste,3200.0,2,78
oeste,2460.0,4,270
oeste,5100.0,1,92
oeste,1850.0,3,60
oeste,2890.0,3,107
oeste,1300.0,2,40
oeste,1550.0,1,53
oeste,2470.0,2,63
oeste,1650.0,3,69
oeste,1390.0,2,49
oeste,3000.0,2,100
oeste,3500.0,3,92
oeste,4500.0,4,400
oeste,8800.0,3,220
oeste,3000.0,2,69
oeste,6840.0,4,160
oeste,3500.0,3,130
oeste,2263.0,3,85
oeste,6000.0,3,126
oeste,5100.0,1,65
oeste,7000.0,2,96
oeste,9000.0,3,152
oeste,10900.0,3,180
oeste,3600.0,3,97
oeste,1900.0,4,145
oeste,3500.0,2,80
oeste,12000.0,4,310
oeste,4100.0,3,115
oeste,3800.0,3,148
oeste,2200.0,1,65
oeste,7500.0,,300
oeste,1700.0,3,60
oeste,4500.0,4,110
oeste,1810.0,1,50
oeste,3200.0,2,71
oeste,2200.0,3,60
oeste,6000.0,3,82
oeste,850000.0,2,40
oeste,1800.0,2,44
oeste,1000.0,1,16
oeste,1900.0,2,117
oeste,1300.0,1,25
oeste,1870.0,3,67
oeste,1600.0,2,50
oeste,1600.0,3,80
oeste,3800.0,4,118
oeste,3000.0,3,77
oeste,3400.0,3,110
oeste,4100.0,3,80
oeste,3800.0,2,100
oeste,6000.0,3,200
oeste,1700.0,1,48
oeste,5000.0,3,126
oeste,2500.0,4,165
oeste,12500.0,2,200
oeste,4000.0,3,144
oeste,1800.0,1,31
oeste,2300.0,1,55
oeste,3000.0,3,98
oeste,2300.0,2,83
oeste,5400.0,3,106
oeste,4980.0,4,200
oeste,2400.0,1,43
oeste,4500.0,3,117
oeste,1690.0,2,56
oeste,1473.0,2,40
oeste,3600.0,1,37
oeste,3890.0,1,46
oeste,1976.0,2,34
oeste,11000.0,4,253
oeste,3700.0,3,151
oeste,2530.0,2,70
oeste,2400.0,2,55
oeste,2600.0,2,53
oeste,1900.0,1,39
oeste,1300.0,2,58
oeste,4700.0,1,50
oeste,3500.0,1,40
oeste,1960.0,2,81
oeste,2500.0,2,89
oeste,3000.0,2,69
oeste,4000.0,3,126
oeste,2900.0,2,55
oeste,4200.0,3,85
oeste,1730.0,1,32
oeste,3000.0,3,87
oeste,3000.0,3,150
oeste,2400.0,3,120
oeste,5500.0,1,36
oeste,2800.0,3,70
oeste,3500.0,3,213
oeste,15000.0,4,250
oeste,2800.0,2,82
oeste,2700.0,3,86
oeste,3800.0,3,118
oeste,1730.0,3,70
oeste,5600.0,3,160
oeste,3500.0,3,131
oeste,3200.0,3,110
oeste,1260.0,2,80
oeste,2638.0,3,105
oeste,3460.0,2,60
oeste,4500.0,3,120
oeste,13300.0,3,212
oeste,3660.0,2,87
oeste,6100.0,3,136
oeste,12000.0,2,210
oeste,8640.0,4,280
oeste,4510.0,3,120
oeste,5200.0,2,75
oeste,4250.0,2,127
oeste,4108.0,2,74
oeste,3500.0,3,120
oeste,4500.0,2,80
oeste,5020.0,3,250
oeste,3470.0,3,92
oeste,2200.0,3,72
oeste,3400.0,2,78
oeste,8000.0,4,191
oeste,8500.0,2,190
oeste,3200.0,2,68
oeste,3000.0,2,67
oeste,2300.0,2,59
oeste,3810.0,3,230
oeste,4930.0,1,40
oeste,2990.0,1,50
oeste,2880.0,3,67
oeste,4400.0,3,168
oeste,1600.0,3,68
oeste,1900.0,2,43
oeste,15000.0,3,180
oeste,15000.0,4,285
oeste,1430.0,1,15
oeste,4000.0,3,107
oeste,1260.0,1,15
oeste,9000.0,4,356
oeste,3380.0,4,345
oeste,2900.0,3,91
oeste,6500.0,3,160
oeste,1270.0,1,15
oeste,3500.0,2,70
oeste,2360.0,2,50
oeste,3500.0,2,72
oeste,3910.0,3,114
oeste,3200.0,2,72
oeste,1200.0,1,40
oeste,6000.0,2,108
oeste,5500.0,3,94
oeste,8410.0,4,288
oeste,3000.0,4,250
oeste,2300.0,2,79
oeste,3737.0,1,46
oeste,3900.0,3,225
oeste,1800.0,1,36
oeste,2500.0,2,70
oeste,1880.0,2,59
oeste,7000.0,3,150
oeste,2490.0,3,170
oeste,5000.0,2,120
oeste,2230.0,1,57
oeste,4200.0,3,84
oeste,3500.0,2,74
oeste,2200.0,1,48
oeste,4200.0,3,110
oeste,1600.0,1,50
oeste,2468.0,1,40
oeste,1900.0,2,65
oeste,2600.0,1,30
oeste,2500.0,2,70
oeste,990000.0,1,18
oeste,2800.0,1,54
oeste,2970.0,2,70
oeste,4500.0,1,56
oeste,1550.0,1,30
oeste,2400.0,1,23
oeste,1260.0,1,15
oeste,3100.0,1,35
oeste,2300.0,1,42
oeste,1600.0,1,40
oeste,1400.0,2,58
oeste,1550.0,1,13
oeste,5000.0,3,160
oeste,1260.0,1,15
oeste,1260.0,1,15
oeste,1693.0,2,48
oeste,900000.0,1,20
oeste,1400.0,3,67
oeste,900000.0,1,20
oeste,1050.0,1,22
oeste,1650.0,1,34
oeste,8000.0,3,141
oeste,3800.0,1,75
oeste,3500.0,2,79
oeste,2925.0,1,38
oeste,1740.0,2,63
oeste,5500.0,1,67
oeste,680000.0,1,54
oeste,3000.0,1,31
oeste,2881.0,1,31
oeste,3500.0,2,110
oeste,7541.0,2,122
oeste,2900.0,3,204
oeste,2399.0,2,90
oeste,1399.0,2,48
oeste,950000.0,1,42
oeste,850000.0,1,40
oeste,1500.0,3,75
oeste,1500.0,3,75
oeste,1200.0,,25
oeste,850000.0,1,15
oeste,1618.0,2,65
oeste,7500.0,,294
oeste,26500.0,4,600
oeste,3850.0,3,102
oeste,2700.0,3,63
oeste,1180.0,,40
oeste,1500.0,2,92
oeste,1700.0,2,65
oeste,900000.0,2,50
oeste,1000.0,1,42
oeste,4000.0,1,
oeste,7500.0,,230
oeste,7500.0,1,108
oeste,7500.0,,240
oeste,7500.0,4,145
oeste,3100.0,,30
oeste,1500.0,2,89
oeste,7300.0,3,130
